dataset,n_features,accuracy,f1_macro,f1_weighted
STAT_CLAHE,15,0.7458067564375148,0.6935602885464889,0.7411893138566025
LBP_CLAHE,26,0.6600519725962675,0.6056611515485189,0.654274229468277
HOG_CLAHE,576,0.7153319158988897,0.6841492129956218,0.7061858304375147
STAT_LBP_CLAHE,41,0.7779352704937397,0.7450724035935662,0.7736186226583357
STAT_HOG_CLAHE,591,0.7306874557051737,0.7025623108629193,0.721460073067297
LBP_HOG_CLAHE,602,0.7283250649657453,0.6987571957242946,0.7188285090803334
STAT_LBP_HOG_CLAHE,617,0.7424994094023152,0.7155132049255004,0.7339899347654455
STAT_NO_CLAHE,15,0.7228915662650602,0.6739654232666603,0.7199386807069683
LBP_NO_CLAHE,26,0.6895818568391212,0.6227582029563408,0.6837697088474469
HOG_NO_CLAHE,576,0.7172218284904324,0.6905593080801724,0.7086072700294036
STAT_LBP_NO_CLAHE,41,0.7576187101346563,0.7295909903306672,0.7546036581464437
STAT_HOG_NO_CLAHE,591,0.7264351523742026,0.7007323951783972,0.7180698999736582
LBP_HOG_NO_CLAHE,602,0.7332860855185448,0.7075165214841991,0.7240924315153677
STAT_LBP_HOG_NO_CLAHE,617,0.7432081266241436,0.7204001632255254,0.7348174883518256
