dataset,n_features,accuracy,f1_macro,f1_weighted
STAT_CLAHE,15,0.7252539570044886,0.6803491906782528,0.7347921193762152
LBP_CLAHE,26,0.6969052681313489,0.669650732005702,0.7022934353073683
HOG_CLAHE,576,0.7741554453106544,0.7666309702623935,0.7770430037776663
STAT_LBP_CLAHE,41,0.8112449799196787,0.7911893444457146,0.8132911721983527
STAT_HOG_CLAHE,591,0.8058114812189936,0.800206126676815,0.8079779966863896
LBP_HOG_CLAHE,602,0.8093550673281361,0.8032648957537516,0.8109222417950935
STAT_LBP_HOG_CLAHE,617,0.8325064965745335,0.8283237868965038,0.8333701180673739
STAT_NO_CLAHE,15,0.7075360264587763,0.6741337397599931,0.715061227504125
LBP_NO_CLAHE,26,0.7068273092369478,0.6776315351687442,0.7120646841490276
HOG_NO_CLAHE,576,0.7755728797543113,0.7698838028694621,0.7793510471447831
STAT_LBP_NO_CLAHE,41,0.8079376328844791,0.7938579918117046,0.8095501011697833
STAT_HOG_NO_CLAHE,591,0.7956532010394519,0.7896282662580528,0.7982909467586808
LBP_HOG_NO_CLAHE,602,0.8133711315851642,0.8076260799034501,0.8152670810310214
STAT_LBP_HOG_NO_CLAHE,617,0.8284904323175053,0.824500573289847,0.8296505771297681
