dataset,n_features,accuracy,f1_macro,f1_weighted
STAT_CLAHE,15,0.7694306638317978,0.7172043979829985,0.764513509318255
LBP_CLAHE,26,0.7207654145995748,0.66847140685581,0.7123188604183099
HOG_CLAHE,576,0.7880935506732814,0.7635162012478188,0.7808783186210679
STAT_LBP_CLAHE,41,0.8256555634301913,0.8043909365509774,0.8236372919957506
STAT_HOG_CLAHE,591,0.8502244271202457,0.8425286674136478,0.8482341478308784
LBP_HOG_CLAHE,602,0.8266005197259627,0.8134957884201885,0.8226535917153266
STAT_LBP_HOG_CLAHE,617,0.8646350106307583,0.8618247910716936,0.863198960006016
STAT_NO_CLAHE,15,0.7564375147649421,0.7159163457420123,0.7536029635953663
LBP_NO_CLAHE,26,0.731632412000945,0.6842034702685857,0.7251530665604784
HOG_NO_CLAHE,576,0.7925820930781952,0.7771382619075691,0.7872396006981373
STAT_LBP_NO_CLAHE,41,0.8159697613985353,0.8008440031562287,0.814086701570783
STAT_HOG_NO_CLAHE,591,0.8398299078667611,0.8348341673991108,0.8379842854901294
LBP_HOG_NO_CLAHE,602,0.8306165839829908,0.8220453117024451,0.8276649112639956
STAT_LBP_HOG_NO_CLAHE,617,0.856839121190645,0.8517341687527639,0.8548085504332003
